Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1997,8,LT,롯데 자이언츠,126,48,77,1,237,4.58,385,0,8.469999999999999,0.5760714285714286,58.43571428571429,434.0,12.08,4.8061904761904755,1.6676190476190478,621.0,328.1480565223718
1998,1,WO,현대 유니콘스,126,81,45,0,270,3.03,643,1,28.330000000000002,0.6820416666666667,82.08333333333333,633.0,28.01,4.268235294117647,1.3494117647058825,445.0,669.2494245989417
1998,2,SS,삼성 라이온즈,126,66,58,2,268,4.32,532,3,28.4,0.59816,77.39999999999999,620.0,16.99,5.101764705882353,1.5605882352941176,584.0,529.8736243128048
1998,3,LG,LG 트윈스,126,63,62,1,267,4.18,504,2,25.6,0.6548499999999999,81.74761904761905,608.0,12.69,4.672222222222222,1.5533333333333335,586.0,518.4192073591024
1998,4,OB,OB 베어스,126,61,62,3,256,3.6,496,4,15.73,0.49430434782608695,20.613043478260867,520.0,19.35,7.944999999999999,2.9227777777777777,506.0,513.6426840099963
1998,5,HT,해태 타이거즈,126,61,64,1,258,3.91,488,0,17.91,0.5571153846153846,48.30384615384616,489.0,19.689999999999998,4.256,1.6186666666666667,531.0,458.89322601728924
1998,6,SK,쌍방울 레이더스,126,58,66,2,261,4.04,468,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,7,HH,한화 이글스,126,55,66,5,250,4.26,455,0,15.15,0.528423076923077,32.684615384615384,503.0,12.899999999999999,4.248571428571429,1.4435714285714287,578.0,430.9521660104431
1998,8,LT,롯데 자이언츠,126,50,72,4,255,4.61,410,0,18.32,0.5858965517241379,58.08275862068966,536.0,11.04,5.142941176470589,1.8370588235294119,646.0,407.7364563754127
1999,1,OB,두산 베어스,132,76,51,5,284,4.58,598,3,26.03,0.6922857142857143,69.96666666666667,721.0,22.56,5.5905555555555555,1.8483333333333332,657.0,546.344154956388
1999,2,LT,롯데 자이언츠,132,75,52,5,291,4.18,591,2,28.529999999999998,0.668,62.1409090909091,753.0,30.77,5.56,1.5621052631578947,590.0,619.6081559676282
