Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10703,이준호,1987년 09월 07일,우투우타,중앙초-군산남중-군산상고-고려대,10 KIA 육성선수,3시즌,LF,172,0.00,-0.52,363,354,317,29,71,14,4,0,93,25,4,4,32,1,0,64,6,9,4,0.224,0.294,0.293,0.587,0.082,67.0,-0.52
10705,정상교,1991년 10월 01일,우투우타,율하초-대구중-대구고,11 KIA 5라운드 40순위,2시즌,SS,12,-0.04,0.03,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,0.000,-15.0,-0.01
10707,김민식,1989년 06월 28일,우투좌타,양덕초-마산중-마산고-원광대,12 SK 2라운드 11순위,10시즌,C,866,4.30,-0.26,2318,2258,1981,239,448,66,8,25,605,224,11,6,240,23,3,399,37,58,16,0.226,0.315,0.305,0.620,0.106,65.2,4.04
10716,홍명찬,1987년 01월 19일,우투좌타,응암초-홍은중-한서고,06 SK 2차 2라운드 12순위,6시즌,IF,35,-0.28,-0.46,44,44,42,3,8,1,0,0,9,2,0,0,2,0,0,12,2,0,0,0.190,0.227,0.214,0.441,0.068,3.7,-0.74
10717,정진기,1992년 10월 10일,우투좌타,화순초-화순중-화순고,11 SK 3라운드 23순위,9시즌,CF,400,-1.78,-0.58,867,856,803,119,183,25,4,23,285,94,29,7,42,9,1,200,8,11,2,0.228,0.273,0.355,0.628,0.139,54.2,-2.35
10725,김경모,1989년 06월 15일,우투우타,응암초-홍은중-장충고,08 삼성 2차 2라운드 9순위,2시즌,2B,11,-0.19,0.01,5,5,5,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.400,-167.3,-0.17
10726,김정혁,1985년 08월 03일,우투우타,포항초-포철중-포철공고-동국대,11 삼성 육성선수,5시즌,3B,99,-0.62,-0.31,236,234,215,33,51,6,1,2,65,25,4,2,14,3,0,48,5,2,2,0.237,0.291,0.302,0.593,0.141,46.2,-0.93
10734,김동한,1988년 06월 24일,우투우타,내발산초-양천중-장충고-동국대,11 두산 8라운드 59순위,7시즌,2B,374,-0.35,-0.63,605,586,542,90,132,37,1,6,189,48,32,11,42,0,0,89,7,19,2,0.244,0.297,0.349,0.646,0.154,60.7,-0.98
10744,이승재,1983년 06월 09일,우투우타,양덕초-마산중-마산고-경희대,02 롯데 2차 5라운드 38순위,3시즌,C,53,-0.52,-0.04,47,47,45,3,7,2,1,0,11,5,0,0,1,0,0,10,2,0,1,0.156,0.170,0.244,0.414,0.064,-42.8,-0.56
10753,유강남,1992년 07월 15일,우투우타,청원초-휘문중-서울고,11 LG 7라운드 50순위,13시즌,C,1313,22.84,1.01,4234,4187,3769,430,997,170,1,123,1538,560,8,3,271,118,7,754,128,43,33,0.265,0.331,0.408,0.739,0.103,98.0,23.85
